week,demand_units,retailer_id,sku_id
1,0.0,RET_1,SKU_1
2,0.0,RET_1,SKU_1
3,0.0,RET_1,SKU_1
4,0.0,RET_1,SKU_1
5,0.0,RET_1,SKU_1
6,0.0,RET_1,SKU_1
7,0.0,RET_1,SKU_1
8,0.0,RET_1,SKU_1
9,0.0,RET_1,SKU_1
10,0.0,RET_1,SKU_1
11,0.0,RET_1,SKU_1
12,0.0,RET_1,SKU_1
13,0.0,RET_1,SKU_1
14,0.0,RET_1,SKU_1
15,0.0,RET_1,SKU_1
16,0.0,RET_1,SKU_1
17,0.0,RET_1,SKU_1
18,0.0,RET_1,SKU_1
19,0.0,RET_1,SKU_1
20,0.0,RET_1,SKU_1
21,0.0,RET_1,SKU_1
22,0.0,RET_1,SKU_1
23,0.0,RET_1,SKU_1
24,219.4129834456509,RET_1,SKU_1
25,0.0,RET_1,SKU_1
26,0.0,RET_1,SKU_1
27,156.19255749756323,RET_1,SKU_1
28,193.61047991818862,RET_1,SKU_1
29,0.0,RET_1,SKU_1
30,0.0,RET_1,SKU_1
31,0.0,RET_1,SKU_1
32,0.0,RET_1,SKU_1
33,0.0,RET_1,SKU_1
34,0.0,RET_1,SKU_1
35,0.0,RET_1,SKU_1
36,0.0,RET_1,SKU_1
37,0.0,RET_1,SKU_1
38,172.14632648446295,RET_1,SKU_1
39,0.0,RET_1,SKU_1
40,0.0,RET_1,SKU_1
41,0.0,RET_1,SKU_1
42,0.0,RET_1,SKU_1
43,0.0,RET_1,SKU_1
44,0.0,RET_1,SKU_1
45,0.0,RET_1,SKU_1
46,0.0,RET_1,SKU_1
47,0.0,RET_1,SKU_1
48,0.0,RET_1,SKU_1
49,0.0,RET_1,SKU_1
50,0.0,RET_1,SKU_1
51,0.0,RET_1,SKU_1
52,0.0,RET_1,SKU_1
1,0.0,RET_1,SKU_2
2,0.0,RET_1,SKU_2
3,0.0,RET_1,SKU_2
4,0.0,RET_1,SKU_2
5,0.0,RET_1,SKU_2
6,0.0,RET_1,SKU_2
7,0.0,RET_1,SKU_2
8,0.0,RET_1,SKU_2
9,0.0,RET_1,SKU_2
10,0.0,RET_1,SKU_2
11,0.0,RET_1,SKU_2
12,0.0,RET_1,SKU_2
13,195.94657587948888,RET_1,SKU_2
14,0.0,RET_1,SKU_2
15,0.0,RET_1,SKU_2
16,0.0,RET_1,SKU_2
17,0.0,RET_1,SKU_2
18,0.0,RET_1,SKU_2
19,0.0,RET_1,SKU_2
20,0.0,RET_1,SKU_2
21,0.0,RET_1,SKU_2
22,0.0,RET_1,SKU_2
23,0.0,RET_1,SKU_2
24,174.5873209296961,RET_1,SKU_2
25,0.0,RET_1,SKU_2
26,0.0,RET_1,SKU_2
27,0.0,RET_1,SKU_2
28,181.78127606354371,RET_1,SKU_2
29,0.0,RET_1,SKU_2
30,0.0,RET_1,SKU_2
31,0.0,RET_1,SKU_2
32,0.0,RET_1,SKU_2
33,0.0,RET_1,SKU_2
34,0.0,RET_1,SKU_2
35,0.0,RET_1,SKU_2
36,0.0,RET_1,SKU_2
37,0.0,RET_1,SKU_2
38,0.0,RET_1,SKU_2
39,0.0,RET_1,SKU_2
40,0.0,RET_1,SKU_2
41,115.46978468504358,RET_1,SKU_2
42,0.0,RET_1,SKU_2
43,0.0,RET_1,SKU_2
44,0.0,RET_1,SKU_2
45,0.0,RET_1,SKU_2
46,0.0,RET_1,SKU_2
47,0.0,RET_1,SKU_2
48,0.0,RET_1,SKU_2
49,0.0,RET_1,SKU_2
50,0.0,RET_1,SKU_2
51,0.0,RET_1,SKU_2
52,0.0,RET_1,SKU_2
1,0.0,RET_1,SKU_3
2,0.0,RET_1,SKU_3
3,0.0,RET_1,SKU_3
4,0.0,RET_1,SKU_3
5,0.0,RET_1,SKU_3
6,0.0,RET_1,SKU_3
7,0.0,RET_1,SKU_3
8,0.0,RET_1,SKU_3
9,0.0,RET_1,SKU_3
10,0.0,RET_1,SKU_3
11,0.0,RET_1,SKU_3
12,0.0,RET_1,SKU_3
13,0.0,RET_1,SKU_3
14,0.0,RET_1,SKU_3
15,0.0,RET_1,SKU_3
16,0.0,RET_1,SKU_3
17,0.0,RET_1,SKU_3
18,0.0,RET_1,SKU_3
19,0.0,RET_1,SKU_3
20,0.0,RET_1,SKU_3
21,0.0,RET_1,SKU_3
22,0.0,RET_1,SKU_3
23,0.0,RET_1,SKU_3
24,0.0,RET_1,SKU_3
25,0.0,RET_1,SKU_3
26,0.0,RET_1,SKU_3
27,0.0,RET_1,SKU_3
28,0.0,RET_1,SKU_3
29,0.0,RET_1,SKU_3
30,0.0,RET_1,SKU_3
31,0.0,RET_1,SKU_3
32,0.0,RET_1,SKU_3
33,0.0,RET_1,SKU_3
34,0.0,RET_1,SKU_3
35,83.49528074573593,RET_1,SKU_3
36,0.0,RET_1,SKU_3
37,100.71742056312502,RET_1,SKU_3
38,0.0,RET_1,SKU_3
39,0.0,RET_1,SKU_3
40,0.0,RET_1,SKU_3
41,0.0,RET_1,SKU_3
42,0.0,RET_1,SKU_3
43,0.0,RET_1,SKU_3
44,93.23208549021479,RET_1,SKU_3
45,0.0,RET_1,SKU_3
46,0.0,RET_1,SKU_3
47,0.0,RET_1,SKU_3
48,0.0,RET_1,SKU_3
49,101.23041887212914,RET_1,SKU_3
50,0.0,RET_1,SKU_3
51,0.0,RET_1,SKU_3
52,0.0,RET_1,SKU_3
1,0.0,RET_2,SKU_1
2,0.0,RET_2,SKU_1
3,0.0,RET_2,SKU_1
4,0.0,RET_2,SKU_1
5,0.0,RET_2,SKU_1
6,0.0,RET_2,SKU_1
7,0.0,RET_2,SKU_1
8,0.0,RET_2,SKU_1
9,218.49690514144086,RET_2,SKU_1
10,0.0,RET_2,SKU_1
11,0.0,RET_2,SKU_1
12,0.0,RET_2,SKU_1
13,0.0,RET_2,SKU_1
14,197.1602088359278,RET_2,SKU_1
15,0.0,RET_2,SKU_1
16,0.0,RET_2,SKU_1
17,0.0,RET_2,SKU_1
18,0.0,RET_2,SKU_1
19,0.0,RET_2,SKU_1
20,0.0,RET_2,SKU_1
21,0.0,RET_2,SKU_1
22,0.0,RET_2,SKU_1
23,0.0,RET_2,SKU_1
24,0.0,RET_2,SKU_1
25,0.0,RET_2,SKU_1
26,0.0,RET_2,SKU_1
27,158.93100712910254,RET_2,SKU_1
28,0.0,RET_2,SKU_1
29,0.0,RET_2,SKU_1
30,0.0,RET_2,SKU_1
31,0.0,RET_2,SKU_1
32,163.61105210689877,RET_2,SKU_1
33,0.0,RET_2,SKU_1
34,0.0,RET_2,SKU_1
35,0.0,RET_2,SKU_1
36,0.0,RET_2,SKU_1
37,0.0,RET_2,SKU_1
38,0.0,RET_2,SKU_1
39,0.0,RET_2,SKU_1
40,0.0,RET_2,SKU_1
41,0.0,RET_2,SKU_1
42,0.0,RET_2,SKU_1
43,0.0,RET_2,SKU_1
44,0.0,RET_2,SKU_1
45,0.0,RET_2,SKU_1
46,0.0,RET_2,SKU_1
47,0.0,RET_2,SKU_1
48,0.0,RET_2,SKU_1
49,0.0,RET_2,SKU_1
50,0.0,RET_2,SKU_1
51,0.0,RET_2,SKU_1
52,0.0,RET_2,SKU_1
1,0.0,RET_2,SKU_2
2,0.0,RET_2,SKU_2
3,0.0,RET_2,SKU_2
4,0.0,RET_2,SKU_2
5,0.0,RET_2,SKU_2
6,0.0,RET_2,SKU_2
7,0.0,RET_2,SKU_2
8,0.0,RET_2,SKU_2
9,0.0,RET_2,SKU_2
10,0.0,RET_2,SKU_2
11,0.0,RET_2,SKU_2
12,0.0,RET_2,SKU_2
13,0.0,RET_2,SKU_2
14,0.0,RET_2,SKU_2
15,0.0,RET_2,SKU_2
16,145.89445499327633,RET_2,SKU_2
17,0.0,RET_2,SKU_2
18,0.0,RET_2,SKU_2
19,152.87861761039383,RET_2,SKU_2
20,0.0,RET_2,SKU_2
