retailer_id,sku_id,week,demand_units,realized_lead_days,delivered_on_time,transport_cost
RET_1,SKU_1,1,0.0,16,True,0.0
RET_1,SKU_1,2,0.0,16,True,0.0
RET_1,SKU_1,3,0.0,16,True,0.0
RET_1,SKU_1,4,0.0,19,False,0.0
RET_1,SKU_1,5,0.0,16,True,0.0
RET_1,SKU_1,6,0.0,16,True,0.0
RET_1,SKU_1,7,0.0,16,True,0.0
RET_1,SKU_1,8,0.0,16,True,0.0
RET_1,SKU_1,9,0.0,16,True,0.0
RET_1,SKU_1,10,0.0,19,False,0.0
RET_1,SKU_1,11,0.0,19,False,0.0
RET_1,SKU_1,12,0.0,16,True,0.0
RET_1,SKU_1,13,0.0,16,True,0.0
RET_1,SKU_1,14,0.0,16,True,0.0
RET_1,SKU_1,15,0.0,16,True,0.0
RET_1,SKU_1,16,0.0,16,True,0.0
RET_1,SKU_1,17,0.0,16,True,0.0
RET_1,SKU_1,18,0.0,18,False,0.0
RET_1,SKU_1,19,0.0,16,True,0.0
RET_1,SKU_1,20,0.0,16,True,0.0
RET_1,SKU_1,21,0.0,18,False,0.0
RET_1,SKU_1,22,0.0,16,True,0.0
RET_1,SKU_1,23,0.0,16,True,0.0
RET_1,SKU_1,24,219.4129834456509,18,False,487.096823249345
RET_1,SKU_1,25,0.0,19,False,0.0
RET_1,SKU_1,26,0.0,16,True,0.0
RET_1,SKU_1,27,156.19255749756323,18,False,460.76804461781154
RET_1,SKU_1,28,193.61047991818864,16,True,567.2787061602927
RET_1,SKU_1,29,0.0,16,True,0.0
RET_1,SKU_1,30,0.0,16,True,0.0
RET_1,SKU_1,31,0.0,16,True,0.0
RET_1,SKU_1,32,0.0,16,True,0.0
RET_1,SKU_1,33,0.0,16,True,0.0
RET_1,SKU_1,34,0.0,16,True,0.0
RET_1,SKU_1,35,0.0,16,True,0.0
RET_1,SKU_1,36,0.0,16,True,0.0
RET_1,SKU_1,37,0.0,16,True,0.0
RET_1,SKU_1,38,172.14632648446295,16,True,411.4297202978664
RET_1,SKU_1,39,0.0,16,True,0.0
RET_1,SKU_1,40,0.0,19,False,0.0
RET_1,SKU_1,41,0.0,16,True,0.0
RET_1,SKU_1,42,0.0,16,True,0.0
RET_1,SKU_1,43,0.0,16,True,0.0
RET_1,SKU_1,44,0.0,16,True,0.0
RET_1,SKU_1,45,0.0,16,True,0.0
RET_1,SKU_1,46,0.0,16,True,0.0
RET_1,SKU_1,47,0.0,16,True,0.0
RET_1,SKU_1,48,0.0,18,False,0.0
RET_1,SKU_1,49,0.0,16,True,0.0
RET_1,SKU_1,50,0.0,16,True,0.0
RET_1,SKU_1,51,0.0,16,True,0.0
RET_1,SKU_1,52,0.0,19,False,0.0
RET_1,SKU_2,1,0.0,16,True,0.0
RET_1,SKU_2,2,0.0,16,True,0.0
RET_1,SKU_2,3,0.0,16,True,0.0
RET_1,SKU_2,4,0.0,20,False,0.0
RET_1,SKU_2,5,0.0,16,True,0.0
RET_1,SKU_2,6,0.0,16,True,0.0
RET_1,SKU_2,7,0.0,19,False,0.0
RET_1,SKU_2,8,0.0,16,True,0.0
RET_1,SKU_2,9,0.0,18,False,0.0
RET_1,SKU_2,10,0.0,18,False,0.0
RET_1,SKU_2,11,0.0,16,True,0.0
RET_1,SKU_2,12,0.0,16,True,0.0
RET_1,SKU_2,13,195.94657587948888,16,True,611.3533167440053
RET_1,SKU_2,14,0.0,16,True,0.0
RET_1,SKU_2,15,0.0,16,True,0.0
RET_1,SKU_2,16,0.0,16,True,0.0
RET_1,SKU_2,17,0.0,16,True,0.0
RET_1,SKU_2,18,0.0,16,True,0.0
RET_1,SKU_2,19,0.0,19,False,0.0
RET_1,SKU_2,20,0.0,16,True,0.0
RET_1,SKU_2,21,0.0,16,True,0.0
RET_1,SKU_2,22,0.0,16,True,0.0
RET_1,SKU_2,23,0.0,16,True,0.0
RET_1,SKU_2,24,174.5873209296961,16,True,384.0921060453314
RET_1,SKU_2,25,0.0,19,False,0.0
