week,shipments,units,otd_pct,avg_lead_days,avg_delay_days,total_cost,cost_per_unit_avg
1,18.0,0.0,83.33333333333334,16.555555555555557,11.222222222222221,0.0,0.0
2,18.0,108.58111822324742,77.77777777777779,16.38888888888889,11.055555555555555,259.50887255356133,2.39
3,18.0,0.0,72.22222222222221,16.5,11.166666666666666,0.0,0.0
4,18.0,179.92472711740822,83.33333333333334,16.555555555555557,11.222222222222221,527.1794504540061,2.93
5,18.0,566.6835268527939,94.44444444444444,16.11111111111111,10.777777777777779,1320.927805536494,2.330979714325856
6,18.0,217.5862874489396,94.44444444444444,16.11111111111111,10.777777777777779,678.8692168406915,3.1199999999999997
7,18.0,336.08360177808913,77.77777777777779,16.444444444444443,11.11111111111111,763.6893758035972,2.2723196602369478
8,18.0,249.6852602296667,83.33333333333334,16.38888888888889,11.055555555555555,657.7216027660097,2.6342027645565502
9,18.0,218.4969051414409,83.33333333333334,16.27777777777778,10.944444444444445,485.0631294139988,2.22
10,18.0,113.79766753845011,72.22222222222221,16.555555555555557,11.222222222222221,252.6308219353592,2.2199999999999993
11,18.0,0.0,77.77777777777779,16.555555555555557,11.222222222222221,0.0,0.0
12,18.0,0.0,88.88888888888889,16.22222222222222,10.88888888888889,0.0,0.0
13,18.0,363.86985807597915,77.77777777777779,16.444444444444443,11.11111111111111,984.1430032202136,2.704656572610958
14,18.0,505.38316212860974,77.77777777777779,16.38888888888889,11.055555555555555,1169.309465605484,2.3137087921182435
15,18.0,0.0,83.33333333333334,16.38888888888889,11.055555555555555,0.0,0.0
16,18.0,361.92793402217035,83.33333333333334,16.333333333333332,11.0,933.464506771588,2.5791446833015312
17,18.0,301.7625247866549,66.66666666666666,16.77777777777778,11.444444444444445,839.1248104538354,2.780745591411968
18,18.0,148.1694345429213,88.88888888888889,16.22222222222222,10.88888888888889,328.9361446852853,2.22
19,18.0,976.1138303436096,77.77777777777779,16.61111111111111,11.277777777777779,2470.8683849861027,2.5313322157481495
20,18.0,302.268525574677,66.66666666666666,16.666666666666668,11.333333333333334,751.5265008028816,2.4862876456424607
21,18.0,0.0,88.88888888888889,16.166666666666668,10.833333333333334,0.0,0.0
22,18.0,136.20124276350256,77.77777777777779,16.444444444444443,11.11111111111111,399.0696412970625,2.93
23,18.0,116.6980479183714,77.77777777777779,16.77777777777778,11.444444444444445,344.2592413591956,2.9499999999999997
24,18.0,776.7871345696058,72.22222222222221,16.72222222222222,11.38888888888889,1680.6750041740138,2.1636236355861183
25,18.0,0.0,61.111111111111114,16.833333333333332,11.5,0.0,0.0
26,18.0,0.0,77.77777777777779,16.38888888888889,11.055555555555555,0.0,0.0
27,18.0,536.3194207368703,77.77777777777779,16.444444444444443,11.11111111111111,1375.463483409797,2.564634861665076
28,18.0,503.8811070233445,83.33333333333334,16.333333333333332,11.0,1388.7798298601256,2.7561657115192935
29,18.0,0.0,88.88888888888889,16.22222222222222,10.88888888888889,0.0,0.0
30,18.0,408.88645457585096,94.44444444444444,16.11111111111111,10.777777777777779,1102.7747503639027,2.6970195222236963
31,18.0,96.9759294178636,100.0,16.0,10.666666666666666,196.86113671826308,2.03
32,18.0,163.61105210689877,88.88888888888889,16.27777777777778,10.944444444444445,332.1304357770045,2.03
33,18.0,0.0,83.33333333333334,16.38888888888889,11.055555555555555,0.0,0.0
34,18.0,241.1872705116981,88.88888888888889,16.27777777777778,10.944444444444445,532.9908117944678,2.2098629445230884
35,18.0,371.9190029865928,83.33333333333334,16.27777777777778,10.944444444444445,802.0030839905312,2.1563917884008803
36,18.0,0.0,83.33333333333334,16.38888888888889,11.055555555555555,0.0,0.0
37,18.0,231.04461424194852,83.33333333333334,16.555555555555557,11.222222222222221,608.5983835536069,2.6341162963283202
38,18.0,172.14632648446295,66.66666666666666,16.833333333333332,11.5,411.4297202978664,2.3899999999999997
39,18.0,121.93503850952666,66.66666666666666,16.72222222222222,11.38888888888889,357.2696628329131,2.93
40,18.0,0.0,72.22222222222221,16.61111111111111,11.277777777777779,0.0,0.0
41,18.0,243.42139118527456,94.44444444444444,16.11111111111111,10.777777777777779,655.5519342815174,2.693074470938995
42,18.0,0.0,72.22222222222221,16.77777777777778,11.444444444444445,0.0,0.0
43,18.0,0.0,83.33333333333334,16.5,11.166666666666666,0.0,0.0
44,18.0,288.54626568311517,77.77777777777779,16.5,11.166666666666666,779.442738154127,2.701274737723066
45,18.0,323.25787585012006,66.66666666666666,16.77777777777778,11.444444444444445,849.8656231397464,2.6290639351159704
46,18.0,258.03570112120394,72.22222222222221,16.5,11.166666666666666,784.4917621327248,3.040245046417957
47,18.0,118.2588310477278,66.66666666666666,16.5,11.166666666666666,262.5346049259557,2.22
48,18.0,0.0,77.77777777777779,16.5,11.166666666666666,0.0,0.0
49,18.0,230.4744070101292,83.33333333333334,16.5,11.166666666666666,585.551389339141,2.5406351921469805
50,18.0,0.0,83.33333333333334,16.444444444444443,11.11111111111111,0.0,0.0
51,18.0,290.79090063932097,66.66666666666666,16.72222222222222,11.38888888888889,831.9394606249217,2.860954241676248
52,18.0,299.35132312690473,72.22222222222221,16.666666666666668,11.333333333333334,875.7628901443322,2.9255353909796082
